"","name_constructor","driverRef","count"
"1","BRM","hill",10
"2","Benetton","michael_schumacher",19
"3","Brabham","piquet",13
"4","Brabham-Repco","jack_brabham",6
"5","Brawn","button",6
"6","Cooper-Climax","jack_brabham",7
"7","Ferrari","alonso",11
"8","Ferrari","barrichello",9
"9","Ferrari","gilles_villeneuve",6
"10","Ferrari","ickx",6
"11","Ferrari","lauda",15
"12","Ferrari","massa",11
"13","Ferrari","michael_schumacher",72
"14","Ferrari","raikkonen",10
"15","Ferrari","vettel",14
"16","Ligier","laffite",6
"17","Lotus-Climax","clark",19
"18","Matra-Ford","stewart",9
"19","McLaren","button",8
"20","McLaren","coulthard",12
"21","McLaren","hakkinen",20
"22","McLaren","hamilton",21
"23","McLaren","hunt",9
"24","McLaren","lauda",8
"25","McLaren","prost",30
"26","McLaren","raikkonen",9
"27","McLaren","senna",35
"28","Mercedes","bottas",10
"29","Mercedes","hamilton",82
"30","Mercedes","rosberg",23
"31","Red Bull","max_verstappen",45
"32","Red Bull","ricciardo",7
"33","Red Bull","vettel",38
"34","Red Bull","webber",9
"35","Renault","alonso",17
"36","Renault","prost",9
"37","Team Lotus","emerson_fittipaldi",9
"38","Team Lotus","mario_andretti",11
"39","Team Lotus","peterson",9
"40","Team Lotus","senna",6
"41","Tyrrell","stewart",15
"42","Williams","damon_hill",21
"43","Williams","jones",11
"44","Williams","mansell",28
"45","Williams","piquet",7
"46","Williams","prost",7
"47","Williams","ralf_schumacher",6
"48","Williams","villeneuve",11
